"","x"
"verkleurt",1
"verkochte",1
"verkregen",1
"verkrijgen",2
"verkrijgt",1
"verlaagd",1
"verlagen",4
"verlaging",1
"verlaten",3
"verleden",7
"verleend",1
"verleggen",1
"verlegt",2
"verlengen",1
"verlenging",4
"verlies",1
"verlieslatend",1
"verliest",1
"verliesuren",1
"verliezen",2
"verloedering",1
"verlofstelsels",1
"verloning",1
"verloopt",3
"verlopen",3
"verloren",3
"vermaatschappelijking",8
"vermarkt",2
"vermarkting",4
"vermeden",1
"vermijden",15
"verminderd",1
"verminderen",8
"vermindering",5
"vermindert",2
"vermits",1
"vermogende",1
"vernemen",1
"vernietigd",1
"vernietiging",1
"vernieuwd",6
"vernieuwde",3
"vernieuwende",4
"vernieuwing",2
"vernieuwingen",1
"veronderstellen",2
"veronderstelt",6
"verouderde",1
"verplaatsen",2
"verplaatsing",1
"verplaatsingen",3
"verplaatsingsgedrag",2
"verplaatsingswijze",2
"verpleegkundigezorgkundige",1
"verplicht",2
"verplichte",1
"verplichtingen",1
"verrekenen",1
"verruimd",1
"verruimen",1
"verruiming",4
"versa",2
"versagen",1
"verschaft",1
"verschafte",1
"verscherpen",1
"verschil",15
"verschillen",8
"verschillend",2
"verschillende",40
"verschuift",1
"verschuiven",4
"verschuiving",9
"verschuivingen",1
"verschuldigde",1
"versnelde",1
"versnellen",2
"versnelling",3
"versnippering",1
"versoepelen",2
"verspilling",1
"verspreiden",1
"versterken",31
"versterking",4
"versterkt",18
"versterkte",1
"verstevigen",1
"verstevigt",1
"verstikkende",1
"verstrekken",1
"vertaalden",1
"vertaalt",1
"vertegenwoordigd",2
"vertegenwoordigers",1
"vertegenwoordigt",1
"vertrekken",3
"vertrekt",1
"vertrokken",1
"vertrouwd",1
"vertrouwde",1
"vertrouwen",24
"vervallen",1
"vervangen",3
"vervangingsinkomen",1
"vervangingsmogelijkheden",1
"vervangingsuitkeringen",1
"vervoer",9
"vervoeraanbod",1
"vervoermaatschappijen",1
"vervoernetwerk",2
"vervoersaanbod",1
"vervoersdata",1
"vervoersmaatschappijen",2
"vervoersmiddelen",2
"vervoersmodi",1
"vervoersnetwerk",1
"vervoersorganisatie",1
"vervoersplan",1
"vervoersplannen",1
"vervolgens",4
"vervolledigd",1
"vervolledigen",4
"vervroegd",1
"vervroegde",5
"verwacht",2
"verwachte",1
"verwachten",2
"verwachting",1
"verwachtingen",2
"verwanten",1
"verwarming",1
"verwarrende",1
"verwerven",5
"verweven",1
"verwevenheid",2
"verweving",1
"verwezenlijken",10
"verwezenlijking",2
"verwezenlijkingen",1
"verwezenlijkt",4
"verwijst",1
"verwitting",1
"verwoordden",1
"verwoordt",1
"verworpen",1
"verworven",4
"verzanden",1
"verzekerd",1
"verzekeren",5
"verzekeringskarakter",1
"verzekeringsprincipe",1
"verzekert",1
"verzendingen",1
"verzesvoudigd",1
"verzoenen",1
"verzorgen",2
"verzorgers",1
"verzorging",2
"verzuchtingen",1
"vestigen",1
"vestigingswetgeving",1
"vet",1
"via",19
"vice",2
"vicieuze",1
"vier",5
"vierdaagse",1
"vignet",1
"vijf",8
"vinden",8
"vindt",13
"vinger",1
"visie",12
"visserijonderzoek",1
"vitalink",1
"vlaams",27
"vlaamsbrabant",1
"vlaamse",96
"vlaanderen",80
"vlaanderen<U+201D>",1
"vlaanderenbrussel",1
"vlak",21
"vlaming",7
"vlamingen",4
"vlekken",1
"vloeit",1
"vloeroppervlaktes",1
"vlot",9
"vlotte",7
"vlotter",2
"vlottere",1
"voeding",2
"voedingssector",6
"voedselveiligheid",1
"voedselveiligheidsstandaarden",1
"voedselverliezen",1
"voelen",1
"voerde",1
"voeren",20
"voert",1
"voertuig",1
"voertuigen",3
"voet",1
"volatiliteit",1
"voldoen",1
"voldoende",19
"volgehouden",1
"volgen",2
"volgend",1
"volgende",14
"volgens",16
"volgt",6
"volkscaf<U+00E9>",1
"volksgezondheid",1
"volkslening",1
"volksleningen",1
"volksverzekering",6
"volle",6
"volledig",2
"volledige",10
"volop",2
"volstaan",2
"voltijds",1
"voltijdse",1
"voluit",2
"volume",1
"volwaardig",1
"volwaardige",4
"volwassenenonderwijs",2
"voo",1
"vooraanstaande",1
"vooraf",2
"vooral",13
"vooraleer",1
"voorbaat",1
"voorbeeld",3
"voorbeelden",4
"voorbeeldfunctie",1
"voorbeeldprojecten",1
"voorbereid",3
"voorbereiden",2
"voorbereidende",1
"voorbereiding",2
"voorbereidingen",2
"voorbereidt",1
"voorbije",12
"voordeel",6
"voordele",2
"voordelen",7
"voordien",2
"voordoen",3
"vooreerst",2
"voorgaan",1
"voorheffing",1
"vooringevuld",1
"voorkeur",1
"voorkomen",4
"voorleggen",1
"voorlopers",1
"voormeld",1
"voormelde",1
"voornaamste",1
"voornamelijk",1
"voorop",9
"vooropstelt",2
"voorrang",10
"voorschrijfprofiel",1
"voorschrijfprofielen",1
"voorschrijven",1
"voorschrijven<U+2019>",1
"voorsprong",1
"voorstadsnet",1
"voorstander",3
"voorstel",2
"voorstellen",1
"voorstelt",1
"voort",12
"voortaan",5
"voortdurend",2
"voortgaande",1
"voorts",4
"voortzetten",1
"voortzetting",1
"vooruit",1
"vooruitgang",60
"voorwaarde",5
"voorwaarden",2
"voorwaarts",1
"voorwoord",6
"voorzien",7
"voren",1
"vorige",4
"vorm",4
"vormen",8
"vormfout",1
"vormfouten",1
"vorming",7
"vormingsaanbod",1
"vormt",1
"voucher",1
"vraag",11
"vraaggestuurde",1
"vraagsturing",2
"vraagt",6
"vrachtverkeer",1
"vrachtvervoer",1
"vrachtwagenfiscaliteit",1
"vrachtwagenkilometers",1
"vrachtwagens",4
"vragen",2
"vreemde",2
"vriendelijk",1
"vrienden",1
"vrijblijvend",1
"vrije",5
"vrijetijdsactoren",1
"vrijetijdsnetwerk",1
"vrijgesteld",1
"vrijgestelde",1
"vrijheid",2
"vrijkomen",1
"vrijkomt",1
"vrijstelling",4
"vrijstellingen",1
"vrijwaart",1
"vrijwaren",5
"vrijwel",2
"vrijwillige",1
"vrijwilligers",4
"vrijwilligerswerk",1
"vroegdetectie",1
"vroeger",1
"vroegere",1
"vrouwelijke",1
"vrouwen",2
"vrt",2
"vsb",12
"vte",2
"vullen",3
"vuren",1
"vvsg",1
"w<U+00B2>",1
"w<U+00E9>l",2
"waalse",2
"waar",36
"waaraan",1
"waarbij",4
"waarborgen",1
"waarborgregeling",2
"waarde",2
"waardeer",1
"waardeert",3
"waardenketens",1
"waarderen",7
"waardering",4
"waardoor",11
"waarheidsgetrouw",1
"waarin",11
"waarmaakt",1
"waarmaken",3
"waarmee",4
"waarom",4
"waaronder",7
"waarop",9
"waarover",2
"waarvan",5
"waasland",1
"waaslandhaven",1
"wachten",1
"wachtlijsten",1
"wachtuitkering",1
"wagen",1
"wakker",1
"walloni<U+00EB>",1
"wandelnetwerken",1
"wanneer",14
"wapenen",1
"wapens",1
"ware",1
"warm",2
"warme",4
"warmte",1
"wase",1
"water",4
"waterkwaliteit",2
"wateroverlast",2
"waterstofeconomie",1
"waterweg",1
"waterwegen",4
"waterwegprojecten",1
"wederbeleggingsvergoeding",1
"weefsel",6
"weer",7
"weg",24
"wegen",4
"wegennetwerk",1
"weggebruiker",1
"weggebruikers",3
"wegnemen",4
"wegwerken",10
"weinig",2
"weinige",1
"wel",16
"welbepaalde",1
"welbevinden",1
"weldoordachte",3
"welgestelden",1
"weliswaar",1
"welk",3
"welke",6
"welomschreven",2
"welslagen",1
"welstand",1
"welvaart",14
"welvaartsdriehoek",2
"welvaartsenveloppe",2
"welvaartsenveloppen",1
"welvaartskoppeling",1
"welvaartsniveau",1
"welvaartspeil",1
"welvaartspiramide",1
"welvaartsstaat",1
"welvaartstaat",1
"welvarende",4
"welzijn",21
"welzijns",6
"welzijnsactoren",1
"welzijnsbeleid",2
"welzijnsgerichte",1
"welzijnsluik",1
"welzijnssector",1
"welzijnszorg",1
"welzijnwerk",1
"wenselijk",1
"wenselijke",2
"wenselijkheid",1
"wensen",4
"wenst",11
"werden",8
"wereld",13
"werelddoelstellingen",1
"wereldmarkt",1
"wereldoorlog",1
"wereldranking",3
"wereldtop",1
"wereldvlak",2
"wereldwijd",3
"weren",1
"werk",31
"werkbare",1
"werkcomponent",4
"werken",62
"werkervaring",4
"werkervaringsbedrijven",1
"werkgebieden",1
"werkgelegenheid",7
"werkgelegenheid<U+2019>",1
"werkgelegenheidsgraad",2
"werkgever",2
"werkgevers",7
"werkgeversbijdragevermindering",1
"werkhervatting",1
"werking",4
"werkingsmiddelen",2
"werkingsuitkeringen",1
"werklast",1
"werkloos",1
"werkloosheid",14
"werkloosheidsvallen",1
"werkloosheiduitkering",1
"werklozen",2
"werknemer",5
"werknemers",15
"werknemersen",1
"werkomgeving",1
"werkonderbreking",1
"werkplek",5
"werkplekken",2
"werkplekleren",6
"werkplicht",1
"werkt",7
"werktijdvermindering",1
"werkvloer",2
"werkvormen",1
"werkweek",1
"werkwijze",1
"werkzaamheidsgraad",4
"werkzekerheid",2
"werkzoekende",1
"werkzoekenden",4
"wervik",1
"westhoek",1
"westkust",1
"westvlaanderen",3
"wet",4
"weten",10
"wetenschap",3
"wetenschappelijk",2
"wetenschappelijke",2
"wetgevend",1
"wetgeving",3
"wetteksten",2
"wettelijk",2
"wettelijke",4
"wetteren",1
"wieg",2
"wij",28
"wijk",2
"wijnegem",1
"wijnegemantwerpen",1
"wijten",1
"wijze",1
"wijzigen",1
"wijzigende",1
"wijziging",2
"wijzigingen",1
"wildgroei",1
"willen",60
"wilrijk",1
"wind",2
"windmolenparken",1
"winkelen",1
"winkeloppervlakten",1
"winkelvloeroppervakte",1
"winnen",1
"winst",1
"winsten",2
"winwinlening",1
"wisselen",1
"witte",1
"witwassen",1
"witwaswetgeving",1
"woluwevallei",1
"wonderformule",1
"wonen",16
"wonenwelzijn",1
"woning",3
"woningen",2
"woningmarkt",1
"woonbeleid",2
"woonbonus",3
"woonen",1
"woongelegenheden",1
"woonkernen",2
"woonschoolverkeer",1
"woonvormen",5
"woonwerk",1
"woonwerkverkeer",1
"woonzorgcentra",2
"woonzorgcentrum",2
"woordelijkheid",1
"woorden",1
"wordende",2
"zaak",1
"zagen",1
"zaken",1
"zaventem",1
"zeebrugge",2
"zeebrugse",1
"zeehaven",2
"zeehavens",1
"zeer",16
"zeesluis",1
"zeetex",1
"zeggen",4
"zegt",4
"zei",1
"zeker",12
"zekerheid",39
"zekerheidsvoorwaarden",1
"zelfcontrole",1
"zelfdiscipline",1
"zelfs",7
"zelfstandig",2
"zelfstandige",2
"zelfstandigen",7
"zelfzorg",1
"zero<U+2019>",1
"zes",1
"zette",1
"zetten",18
"zgn",1
"zicht",4
"zichtbaar",3
"zichzelf",3
"zie",2
"ziek",2
"zieke",1
"zieken",1
"ziekenfondsen",3
"ziekenhuis",3
"ziekenhuisfacturen",1
"ziekenhuisinfrastructuur",1
"ziekenhuisopname",1
"ziekenhuisorganisatie",1
"ziekenhuiszorg",1
"ziekenhuizen",4
"ziekte",3
"ziektegericht",1
"ziektekosten",1
"ziektekostenverzekering",1
"ziekten",3
"ziekteverloop",1
"ziekteverzekering",5
"zien",8
"ziet",1
"zijnde",1
"zijns",1
"zin",1
"zinvol",1
"zinvolle",2
"zinvoller",1
"zit",5
"zitten",4
"zoals",32
"zodanig",1
"zodat",28
"zodoende",1
"zoek",4
"zoeken",4
"zoektocht",2
"zogenaamd",1
"zogenaamde",3
"zogenoemde",3
"zomaar",2
"zon",1
"zones",2
"zorg",99
"zorg<U+2019>",1
"zorgaanbieders",6
"zorgaanbod",3
"zorgactoren",1
"zorgbehoefte",2
"zorgbehoeften",2
"zorgbehoevend",1
"zorgbehoevenden",2
"zorgbehoevendheid",1
"zorgbeleid",4
"zorgberoepen",2
"zorgbudget",1
"zorgden",1
"zorgdoelgroepen",2
"zorgeconomie",1
"zorgen",17
"zorgfonds",1
"zorggarantie",2
"zorginnovatie",4
"zorgkassen",2
"zorgkost",1
"zorgkosten",1
"zorgkwaliteit",1
"zorgnoden",3
"zorgnood",4
"zorgorganisatorische",1
"zorgoverleg",1
"zorgpaden",1
"zorgplan",1
"zorgproces",1
"zorgregiodecreet",1
"zorgsector",2
"zorgstelsel",1
"zorgsysteem",1
"zorgsystemen",1
"zorgt",18
"zorgtraject",1
"zorgtrajecten",1
"zorguitgaven",1
"zorgverleners",3
"zorgverlening",4
"zorgverstrekkers",2
"zorgverstrekking",1
"zorgverzekering",2
"zorgverzekeringsplatform",1
"zorgvormen",8
"zorgvrager",10
"zorgvuldig",1
"zorgzaam",1
"zottegem",1
"zouden",2
"zoveel",7
"zowel",19
"zuiden",3
"zuinig",2
"zuiver",1
"zullen",28
"zwaar",1
"zwaarste",1
"zwaartepunt",2
"zwak",1
"zwakke",1
"zwakkere",1
"zware",1
"zweden",1
"zwembaden",3
"zwemmen",1
"zwijnaarde",2
